age,workclass,fnlwgt,edunum,marital,occupation,relationship,race,sex,capitalgain,capitalloss,hours,native,income
39,0,0,13,0,0,0,0,0,2174,0,40,0, <=50K
50,1,1,13,1,1,1,0,0,0,0,13,0, <=50K
38,2,2,9,2,2,0,0,0,0,0,40,0, <=50K
53,2,3,7,1,2,1,1,0,0,0,40,0, <=50K
28,2,4,13,1,3,2,1,1,0,0,40,1, <=50K
37,2,5,14,1,1,2,0,1,0,0,40,0, <=50K
49,2,6,5,3,4,0,1,1,0,0,16,2, <=50K
52,1,7,9,1,1,1,0,0,0,0,45,0, >50K
31,2,8,14,0,3,0,0,1,14084,0,50,0, >50K
42,2,9,13,1,1,1,0,0,5178,0,40,0, >50K
37,2,10,10,1,1,1,1,0,0,0,80,0, >50K
30,0,11,13,1,3,1,2,0,0,0,40,3, >50K
23,2,12,13,0,0,3,0,1,0,0,30,0, <=50K
32,2,13,12,0,5,0,1,0,0,0,50,0, <=50K
40,2,14,11,1,6,1,2,0,0,0,40,4, >50K
34,2,15,4,1,7,1,3,0,0,0,45,5, <=50K
25,1,16,9,0,8,3,0,0,0,0,35,0, <=50K
32,2,17,9,0,9,4,0,0,0,0,40,0, <=50K
38,2,18,7,1,5,1,0,0,0,0,50,0, <=50K
43,1,19,14,2,1,4,0,1,0,0,45,0, >50K
40,2,20,16,1,3,1,0,0,0,0,60,0, >50K
54,2,21,9,4,4,4,1,1,0,0,20,0, <=50K
35,3,22,5,1,8,1,1,0,0,0,40,0, <=50K
43,2,23,7,1,7,1,0,0,0,2042,40,0, <=50K
59,2,24,9,2,10,4,0,1,0,0,40,0, <=50K
56,4,25,13,1,10,1,0,0,0,0,40,0, >50K
19,2,26,9,0,6,3,0,0,0,0,40,0, <=50K
54,5,27,10,1,11,1,2,0,0,0,60,6, >50K
39,2,28,9,2,1,0,0,0,0,0,80,0, <=50K
49,2,29,9,1,6,1,0,0,0,0,40,0, <=50K
23,4,30,12,0,12,0,0,0,0,0,52,0, <=50K
20,2,31,10,0,5,3,1,0,0,0,44,0, <=50K
45,2,32,13,2,1,3,0,0,0,1408,40,0, <=50K
30,3,33,10,1,0,3,0,0,0,0,40,0, <=50K
22,0,34,10,1,4,1,1,0,0,0,15,0, <=50K
48,2,35,7,0,9,4,0,0,0,0,40,7, <=50K
21,2,36,10,0,9,3,0,0,0,0,40,0, <=50K
19,2,37,9,5,0,2,0,1,0,0,25,0, <=50K
31,2,38,10,1,5,1,0,0,0,0,38,4, >50K
48,1,39,12,1,3,1,0,0,0,0,40,0, <=50K
31,2,40,5,1,9,1,0,0,0,0,43,0, <=50K
53,1,41,13,1,3,1,0,0,0,0,40,0, <=50K
24,2,42,13,1,10,1,0,0,0,0,50,0, <=50K
49,2,43,9,4,0,4,0,1,0,0,40,0, <=50K
25,2,44,9,0,2,0,0,0,0,0,35,0, <=50K
57,3,45,13,1,3,1,1,0,0,0,40,0, >50K
53,2,46,9,1,9,1,0,0,0,0,38,0, <=50K
44,2,47,14,2,1,4,0,1,0,0,40,0, <=50K
