age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,0,0,0,0,2143,0,0,0,5,0,261,1,-1,0,0,0
44,1,1,1,0,29,0,0,0,5,0,151,1,-1,0,0,0
33,2,0,1,0,2,0,1,0,5,0,76,1,-1,0,0,0
47,3,0,2,0,1506,0,0,0,5,0,92,1,-1,0,0,0
33,4,1,2,0,1,1,0,0,5,0,198,1,-1,0,0,0
35,0,0,0,0,231,0,0,0,5,0,139,1,-1,0,0,0
28,0,1,0,0,447,0,1,0,5,0,217,1,-1,0,0,0
42,2,2,0,1,2,0,0,0,5,0,380,1,-1,0,0,0
58,5,0,3,0,121,0,0,0,5,0,50,1,-1,0,0,0
43,1,1,1,0,593,0,0,0,5,0,55,1,-1,0,0,0
41,6,2,1,0,270,0,0,0,5,0,222,1,-1,0,0,0
29,6,1,1,0,390,0,0,0,5,0,137,1,-1,0,0,0
53,1,0,1,0,6,0,0,0,5,0,517,1,-1,0,0,0
58,1,0,2,0,71,0,0,0,5,0,71,1,-1,0,0,0
57,7,0,1,0,162,0,0,0,5,0,174,1,-1,0,0,0
51,5,0,3,0,229,0,0,0,5,0,353,1,-1,0,0,0
45,6,1,2,0,13,0,0,0,5,0,98,1,-1,0,0,0
57,3,0,3,0,52,0,0,0,5,0,38,1,-1,0,0,0
60,5,0,3,0,60,0,0,0,5,0,219,1,-1,0,0,0
33,7,0,1,0,0,0,0,0,5,0,54,1,-1,0,0,0
28,3,0,1,0,723,0,1,0,5,0,262,1,-1,0,0,0
56,0,0,0,0,779,0,0,0,5,0,164,1,-1,0,0,0
32,3,1,3,0,23,0,1,0,5,0,160,1,-1,0,0,0
25,7,0,1,0,50,0,0,0,5,0,342,1,-1,0,0,0
40,5,0,3,0,0,0,1,0,5,0,181,1,-1,0,0,0
44,6,0,1,0,-372,0,0,0,5,0,172,1,-1,0,0,0
39,0,1,0,0,255,0,0,0,5,0,296,1,-1,0,0,0
52,2,0,1,0,113,0,1,0,5,0,127,1,-1,0,0,0
46,0,1,1,0,-246,0,0,0,5,0,255,2,-1,0,0,0
36,1,1,1,0,265,0,1,0,5,0,348,1,-1,0,0,0
57,1,0,1,0,839,1,1,0,5,0,225,1,-1,0,0,0
49,0,0,0,0,378,0,0,0,5,0,230,1,-1,0,0,0
60,6,0,1,0,39,0,1,0,5,0,208,1,-1,0,0,0
59,3,0,1,0,0,0,0,0,5,0,226,1,-1,0,0,0
51,0,0,0,0,10635,0,0,0,5,0,336,1,-1,0,0,0
57,1,2,1,0,63,0,0,0,5,0,242,1,-1,0,0,0
25,3,0,1,0,-7,0,0,0,5,0,365,1,-1,0,0,0
53,1,0,1,0,-3,1,0,0,5,0,1666,1,-1,0,0,0
36,6,2,1,0,506,0,0,0,5,0,577,1,-1,0,0,0
37,6,1,1,0,0,0,0,0,5,0,137,1,-1,0,0,0
44,7,2,1,0,2586,0,0,0,5,0,160,1,-1,0,0,0
50,0,0,1,0,49,0,0,0,5,0,180,2,-1,0,0,0
60,3,0,2,0,104,0,0,0,5,0,22,1,-1,0,0,0
54,5,0,1,0,529,0,0,0,5,0,1492,1,-1,0,0,0
58,5,0,2,0,96,0,0,0,5,0,616,1,-1,0,0,0
36,6,1,3,0,-171,0,0,0,5,0,242,1,-1,0,0,0
58,8,0,0,0,-364,0,0,0,5,0,355,1,-1,0,0,0
44,1,0,1,0,0,0,0,0,5,0,225,2,-1,0,0,0
55,1,2,1,0,0,1,0,0,5,0,160,1,-1,0,0,0
29,0,1,0,0,0,0,0,0,5,0,363,1,-1,0,0,0
54,3,0,1,0,1291,0,0,0,5,0,266,1,-1,0,0,0
48,0,2,0,0,-244,0,0,0,5,0,253,1,-1,0,0,0
32,0,0,0,0,0,0,0,0,5,0,179,1,-1,0,0,0
42,6,1,1,0,-76,0,0,0,5,0,787,1,-1,0,0,0
24,1,1,1,0,-103,0,1,0,5,0,145,1,-1,0,0,0
